Generation: 8	Total Reward: 1922.0
Reward: 150   	chromosome: [220, 86]                     [0.518, 1.218, 0.205, 0.1095]
Reward: 142   	chromosome: [110, 163, 86, 203, 94]       [0.516, 1.252, 0.201, 0.3135]
Reward: 132   	chromosome: [110, 163, 86, 203, 94]       [0.516, 1.218, 0.201, 0.3135]
Reward: 110   	chromosome: [110, 163, 211]               [0.516, 0.763, 0.201, 0.3985]
Reward: 102   	chromosome: [105, 159, 154, 128, 77]      [0.599, 0.727, 0.187, 0.3135]
Reward: 92   	chromosome: [110, 146]                    [0.183, 1.642, 0.201, 0.3135]
Reward: 69   	chromosome: [110, 178]                    [0.516, 1.642, 0.201, 0.3135]
Reward: 62   	chromosome: [249, 78]                     [0.518, 1.218, 0.205, 0.1095]
Reward: 46   	chromosome: [110, 163, 86, 203, 94]       [0.516, 1.252, 0.201, 0.1485]
Reward: 38   	chromosome: [76, 51, 86, 203, 94]         [0.525, 1.252, 0.201, 0.1485]
Reward: 30   	chromosome: [102, 218]                    [0.518, 1.642, 0.238, 0.3135]
Reward: 29   	chromosome: [105, 207, 154, 128, 77]      [0.599, 0.727, 0.179, 0.3135]
Reward: 26   	chromosome: [110, 154]                    [0.462, 1.642, 0.201, 0.3135]
Reward: 25   	chromosome: [110, 222]                    [0.462, 0.727, 0.179, 0.3135]
Reward: 24   	chromosome: [94, 90]                      [0.462, 1.642, 0.205, 0.1095]
Reward: 22   	chromosome: [110, 195]                    [0.516, 1.642, 0.205, 0.1095]
Reward: 17   	chromosome: [110, 226, 94, 203, 94]       [0.516, 0.727, 0.201, 0.3135]
Reward: 17   	chromosome: [110, 167, 86, 203, 94]       [0.681, 1.252, 0.201, 0.1485]
Reward: 16   	chromosome: [78, 131, 87]                 [0.102, 1.252, 0.02, 0.3135]
Reward: 15   	chromosome: [110, 183, 86, 137, 94]       [0.516, 1.252, 0.201, 0.3135]
Reward: 13   	chromosome: [78, 218]                     [0.516, 1.642, 0.106, 0.3135]
Reward: 12   	chromosome: [110, 147, 27]                [0.518, 1.252, 0.02, 0.3135]
Reward: 12   	chromosome: [108, 187, 86, 203, 94]       [0.518, 1.218, 0.02, 0.3135]
Reward: 12   	chromosome: [110, 150]                    [0.518, 1.642, 0.02, 0.3135]
Reward: 11   	chromosome: [92, 148, 203, 152]           [0.599, 0.78, 0.02, 0.3135]
