Generation: 21	Total Reward: 8435.0
Reward: 274   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 250   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 238   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.374]
Reward: 232   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 224   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.234, 0.4605]
Reward: 215   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 214   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 208   	chromosome: [174, 155, 133]               [0.583, 0.923, 0.226, 0.436]
Reward: 203   	chromosome: [174, 155, 133]               [0.753, 1.769, 0.226, 0.4605]
Reward: 178   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 177   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.123, 0.4605]
Reward: 176   	chromosome: [174, 159, 133]               [0.678, 0.923, 0.234, 0.4605]
Reward: 175   	chromosome: [174, 159, 133]               [0.583, 0.923, 0.226, 0.374]
Reward: 174   	chromosome: [174, 159, 133]               [0.687, 0.923, 0.234, 0.4605]
Reward: 169   	chromosome: [174, 155, 133]               [0.687, 0.923, 0.123, 0.4605]
Reward: 168   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 167   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 166   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.123, 0.4605]
Reward: 165   	chromosome: [174, 159, 133]               [0.583, 0.923, 0.226, 0.4605]
Reward: 164   	chromosome: [174, 155, 133]               [0.583, 0.923, 0.123, 0.4605]
Reward: 160   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.123, 0.4605]
Reward: 156   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.234, 0.4605]
Reward: 149   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.436]
Reward: 145   	chromosome: [174, 244, 133]               [0.583, 1.242, 0.226, 0.4605]
Reward: 143   	chromosome: [201, 246, 161]               [0.33, 1.959, 0.093, 0.403]
Reward: 143   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 142   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 142   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.374]
Reward: 142   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.123, 0.4605]
Reward: 142   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 141   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 139   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 136   	chromosome: [174, 155, 133]               [0.409, 0.923, 0.234, 0.4605]
Reward: 135   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 133   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.234, 0.4605]
Reward: 133   	chromosome: [174, 155, 133]               [0.687, 0.923, 0.226, 0.4605]
Reward: 126   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.123, 0.4605]
Reward: 125   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 123   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 119   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 118   	chromosome: [174, 159, 133]               [0.753, 1.402, 0.226, 0.4605]
Reward: 118   	chromosome: [174, 155, 133]               [0.753, 0.392, 0.123, 0.374]
Reward: 114   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 110   	chromosome: [174, 159, 133]               [0.687, 0.923, 0.226, 0.4605]
Reward: 108   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 106   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.123, 0.374]
Reward: 106   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 102   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.123, 0.4605]
Reward: 100   	chromosome: [174, 159, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 98   	chromosome: [174, 155, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 87   	chromosome: [174, 155, 133]               [0.466, 0.923, 0.123, 0.4605]
Reward: 39   	chromosome: [49, 199, 49, 73]             [0.386, 1.306, 0.03, 0.3155]
Reward: 36   	chromosome: [60, 133]                     [0.078, 0.075, 0.186, 0.453]
Reward: 36   	chromosome: [228, 133]                    [0.753, 0.923, 0.226, 0.22]
Reward: 35   	chromosome: [28, 53, 135]                 [0.019, 0.503, 0.126, 0.1215]
Reward: 11   	chromosome: [206, 18, 150, 188]           [0.417, 1.344, 0.133, 0.0545]
Reward: 10   	chromosome: [48, 214, 213, 175]           [0.758, 1.486, 0.022, 0.461]
Reward: 10   	chromosome: [57, 77]                      [0.443, 0.377, 0.018, 0.445]
Reward: 10   	chromosome: [110, 128, 12]                [0.661, 0.891, 0.028, 0.1535]
Reward: 10   	chromosome: [197, 199, 65]                [0.138, 1.232, 0.008, 0.0375]
Reward: 10   	chromosome: [75, 186, 145, 48]            [0.073, 1.37, 0.061, 0.1285]
Reward: 10   	chromosome: [58, 40, 89, 40]              [0.309, 0.013, 0.199, 0.0395]
Reward: 10   	chromosome: [43, 155, 41]                 [0.687, 1.902, 0.137, 0.4605]
Reward: 10   	chromosome: [72, 199]                     [0.637, 0.402, 0.093, 0.342]
Reward: 10   	chromosome: [132, 62, 29]                 [0.096, 0.775, 0.027, 0.008]
Reward: 10   	chromosome: [150, 183]                    [0.757, 0.515, 0.056, 0.4785]
Reward: 10   	chromosome: [192, 164, 12, 167, 26]       [0.146, 0.544, 0.133, 0.2445]
Reward: 10   	chromosome: [255, 153, 196]               [0.545, 0.923, 0.123, 0.4415]
Reward: 10   	chromosome: [41, 239, 95]                 [0.665, 1.071, 0.015, 0.241]
Reward: 9   	chromosome: [248, 204, 182, 34]           [0.492, 0.12, 0.045, 0.0915]
Reward: 9   	chromosome: [117, 127]                    [0.292, 1.913, 0.104, 0.2665]
Reward: 9   	chromosome: [174, 139, 133]               [0.753, 0.923, 0.226, 0.4605]
Reward: 9   	chromosome: [190, 95, 5, 7]               [0.044, 0.923, 0.226, 0.4605]
Reward: 9   	chromosome: [172, 153, 153]               [0.687, 0.923, 0.234, 0.4605]
Reward: 9   	chromosome: [174, 20, 155, 133]           [0.583, 0.923, 0.226, 0.4605]
Reward: 9   	chromosome: [51, 70, 61, 208]             [0.266, 0.426, 0.005, 0.4255]
Reward: 9   	chromosome: [195, 206]                    [0.39, 1.192, 0.146, 0.25]
Reward: 9   	chromosome: [174, 241, 133]               [0.432, 0.923, 0.234, 0.151]
Reward: 9   	chromosome: [181, 237, 79]                [0.492, 0.857, 0.029, 0.479]
Reward: 9   	chromosome: [142, 157]                    [0.516, 0.516, 0.141, 0.4605]
Reward: 9   	chromosome: [106, 115, 251, 26]           [0.338, 1.125, 0.172, 0.443]
Reward: 9   	chromosome: [85, 9, 114]                  [0.769, 0.588, 0.152, 0.2165]
Reward: 9   	chromosome: [91, 74]                      [0.197, 1.469, 0.163, 0.4075]
Reward: 9   	chromosome: [135, 102, 196]               [0.077, 1.458, 0.129, 0.3]
Reward: 9   	chromosome: [31, 46, 86]                  [0.437, 0.986, 0.056, 0.46]
Reward: 9   	chromosome: [105, 96, 133, 226, 230]      [0.314, 0.715, 0.168, 0.4875]
Reward: 9   	chromosome: [207, 25]                     [0.623, 1.192, 0.035, 0.4135]
Reward: 9   	chromosome: [8, 161]                      [0.395, 0.36, 0.229, 0.473]
Reward: 9   	chromosome: [168, 183, 133]               [0.753, 0.809, 0.227, 0.4605]
Reward: 9   	chromosome: [133, 71, 81, 66]             [0.328, 0.006, 0.139, 0.395]
Reward: 9   	chromosome: [2, 255, 82, 46]              [0.215, 0.113, 0.24, 0.1055]
Reward: 8   	chromosome: [71, 63, 232]                 [0.634, 1.281, 0.059, 0.28]
Reward: 8   	chromosome: [108, 123, 41]                [0.265, 1.753, 0.163, 0.4135]
Reward: 8   	chromosome: [192, 79]                     [0.381, 1.195, 0.055, 0.3005]
Reward: 8   	chromosome: [197, 233]                    [0.699, 1.034, 0.024, 0.4015]
Reward: 8   	chromosome: [42, 196, 147, 220]           [0.758, 1.442, 0.159, 0.2075]
Reward: 8   	chromosome: [98, 234, 225, 94]            [0.131, 1.932, 0.211, 0.048]
Reward: 8   	chromosome: [226, 238]                    [0.536, 1.374, 0.225, 0.4785]
Reward: 8   	chromosome: [193, 174, 56]                [0.184, 0.341, 0.124, 0.224]
Reward: 8   	chromosome: [57, 93]                      [0.185, 1.774, 0.159, 0.193]
